name,mass (g),fall,year,reclat,reclong,GeoLocation
Aachen,21.0,Fell,1880.0,50.775,6.08333,"(50.775, 6.08333)"
Aarhus,720.0,Fell,1951.0,56.18333,10.23333,"(56.18333, 10.23333)"
Abee,107000.0,Fell,1952.0,54.21667,-113.0,"(54.21667, -113.0)"
Achiras,780.0,Fell,1902.0,-33.16667,-64.95,"(-33.16667, -64.95)"
Adhi Kot,4239.0,Fell,1919.0,32.1,71.8,"(32.1, 71.8)"
Adzhi-Bogdo (stone),910.0,Fell,1949.0,44.83333,95.16667,"(44.83333, 95.16667)"
Agen,30000.0,Fell,1814.0,44.21667,0.61667,"(44.21667, 0.61667)"
Aguada,1620.0,Fell,1930.0,-31.6,-65.23333,"(-31.6, -65.23333)"
Aguila Blanca,1440.0,Fell,1920.0,-30.86667,-64.55,"(-30.86667, -64.55)"
Aïr,24000.0,Fell,1925.0,19.08333,8.38333,"(19.08333, 8.38333)"
Akaba,779.0,Fell,1949.0,29.51667,35.05,"(29.51667, 35.05)"
Akbarpur,1800.0,Fell,1838.0,29.71667,77.95,"(29.71667, 77.95)"
Akwanga,3000.0,Fell,1959.0,8.91667,8.43333,"(8.91667, 8.43333)"
Al Rais,160.0,Fell,1957.0,24.41667,39.51667,"(24.41667, 39.51667)"
Alais,6000.0,Fell,1806.0,44.11667,4.08333,"(44.11667, 4.08333)"
Albareto,2000.0,Fell,1766.0,44.65,11.01667,"(44.65, 11.01667)"
Alberta,625.0,Fell,1949.0,2.0,22.66667,"(2.0, 22.66667)"
Aldsworth,700.0,Fell,1835.0,51.78333,-1.78333,"(51.78333, -1.78333)"
Aleppo,3200.0,Fell,1873.0,36.23333,37.13333,"(36.23333, 37.13333)"
Alessandria,908.0,Fell,1860.0,44.88333,8.75,"(44.88333, 8.75)"
Alexandrovsky,9251.0,Fell,1900.0,50.95,31.81667,"(50.95, 31.81667)"
Alfianello,228000.0,Fell,1883.0,45.26667,10.15,"(45.26667, 10.15)"
Allegan,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.53333, -85.88333)"
Ambapur Nagla,6400.0,Fell,1895.0,27.66667,78.25,"(27.66667, 78.25)"
Andhara,2700.0,Fell,1880.0,26.58333,85.56667,"(26.58333, 85.56667)"
Andover,3200.0,Fell,1898.0,44.61667,-70.75,"(44.61667, -70.75)"
Andura,17900.0,Fell,1939.0,20.88333,76.86667,"(20.88333, 76.86667)"
Angra dos Reis (stone),1500.0,Fell,1869.0,-22.96667,-44.31667,"(-22.96667, -44.31667)"
Ankober,6500.0,Fell,1942.0,9.53333,39.71667,"(9.53333, 39.71667)"
Appley Bridge,15000.0,Fell,1914.0,53.58333,-2.71667,"(53.58333, -2.71667)"
Apt,3200.0,Fell,1803.0,43.86667,5.38333,"(43.86667, 5.38333)"
Arbol Solo,810.0,Fell,1954.0,-33.0,-66.0,"(-33.0, -66.0)"
Archie,5070.0,Fell,1932.0,38.5,-94.3,"(38.5, -94.3)"
Arroyo Aguiar,7450.0,Fell,1950.0,-31.41667,-60.66667,"(-31.41667, -60.66667)"
Asco,41.0,Fell,1805.0,42.45,9.03333,"(42.45, 9.03333)"
Ashdon,1300.0,Fell,1923.0,52.05,0.3,"(52.05, 0.3)"
Assisi,2000.0,Fell,1886.0,43.03333,12.55,"(43.03333, 12.55)"
Atarra,1280.0,Fell,1920.0,25.25417,80.625,"(25.25417, 80.625)"
