name,mass (g),fall,year,reclat,reclong,GeoLocation
Abee,107000.0,Fell,1952.0,54.21667,-113.0,"(54.21667, -113.0)"
Allegan,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.53333, -85.88333)"
Andover,3200.0,Fell,1898.0,44.61667,-70.75,"(44.61667, -70.75)"
Archie,5070.0,Fell,1932.0,38.5,-94.3,"(38.5, -94.3)"
Atemajac,94.2,Fell,1896.0,20.06667,-103.66667,"(20.06667, -103.66667)"
Athens,265.0,Fell,1933.0,34.75,-87.0,"(34.75, -87.0)"
Atoka,1384.2,Fell,1945.0,34.31667,-96.15,"(34.31667, -96.15)"
Avilez,146.0,Fell,1855.0,25.0,-103.5,"(25.0, -103.5)"
Aztec,2830.0,Fell,1938.0,36.8,-108.0,"(36.8, -108.0)"
Bald Mountain,3700.0,Fell,1929.0,35.96667,-82.48333,"(35.96667, -82.48333)"
Baldwyn,345.0,Fell,1922.0,34.5,-88.66667,"(34.5, -88.66667)"
Bath,21000.0,Fell,1892.0,45.41667,-98.31667,"(45.41667, -98.31667)"
Bath Furnace,86000.0,Fell,1902.0,38.25,-83.75,"(38.25, -83.75)"
Baxter,611.0,Fell,1916.0,36.75,-93.5,"(36.75, -93.5)"
Beardsley,16000.0,Fell,1929.0,39.8,-101.2,"(39.8, -101.2)"
Beaver Creek,14000.0,Fell,1893.0,51.16667,-117.33333,"(51.16667, -117.33333)"
Bells,375.0,Fell,1961.0,33.6,-96.46667,"(33.6, -96.46667)"
Benld,1770.5,Fell,1938.0,39.08333,-89.15,"(39.08333, -89.15)"
Benton,2840.0,Fell,1949.0,45.95,-67.55,"(45.95, -67.55)"
Bethlehem,13.9,Fell,1859.0,42.53333,-73.83333,"(42.53333, -73.83333)"
Bishopville,6000.0,Fell,1843.0,34.16667,-80.28333,"(34.16667, -80.28333)"
Black Moshannan Park,705.0,Fell,1941.0,40.91667,-78.08333,"(40.91667, -78.08333)"
Blackwell,2381.0,Fell,1906.0,36.83333,-97.33333,"(36.83333, -97.33333)"
Blanket,5100.0,Fell,1909.0,31.83333,-98.83333,"(31.83333, -98.83333)"
Bloomington,67.8,Fell,1938.0,40.48,-89.00417,"(40.48, -89.00417)"
Bocas,56.0,Fell,1804.0,23.0,-102.0,"(23.0, -102.0)"
Bradford Woods,762.0,Fell,1886.0,40.5,-80.08333,"(40.5, -80.08333)"
Bruderheim,303000.0,Fell,1960.0,53.9,-112.88333,"(53.9, -112.88333)"
Cabin Creek,48500.0,Fell,1886.0,35.5,-93.5,"(35.5, -93.5)"
Cape Girardeau,2300.0,Fell,1846.0,37.26667,-89.58333,"(37.26667, -89.58333)"
Castalia,7300.0,Fell,1874.0,36.08333,-78.06667,"(36.08333, -78.06667)"
Castine,94.0,Fell,1848.0,44.38333,-68.75,"(44.38333, -68.75)"
Caswell County,1360.0,Fell,1810.0,36.5,-79.25,"(36.5, -79.25)"
Centerville,45.6,Fell,1956.0,43.2,-96.91667,"(43.2, -96.91667)"
Charlotte,4300.0,Fell,1835.0,36.16667,-87.33333,"(36.16667, -87.33333)"
Cherokee Springs,8400.0,Fell,1933.0,35.03333,-81.88333,"(35.03333, -81.88333)"
Chicora,303.0,Fell,1938.0,40.93333,-79.73333,"(40.93333, -79.73333)"
Colby (Wisconsin),104000.0,Fell,1917.0,44.9,-90.28333,"(44.9, -90.28333)"
Cosina,1200.0,Fell,1844.0,21.16667,-100.86667,"(21.16667, -100.86667)"
Crescent,78.4,Fell,1936.0,35.95,-97.58333,"(35.95, -97.58333)"
Cross Roads,167.0,Fell,1892.0,35.63333,-78.13333,"(35.63333, -78.13333)"
Cumberland Falls,17000.0,Fell,1919.0,36.83333,-84.35,"(36.83333, -84.35)"
Cynthiana,6000.0,Fell,1877.0,38.4,-84.25,"(38.4, -84.25)"
Danville,2000.0,Fell,1868.0,34.4,-87.06667,"(34.4, -87.06667)"
De Cewsville,340.0,Fell,1887.0,43.0,-80.0,"(43.0, -80.0)"
Deal,28.0,Fell,1829.0,40.25,-74.0,"(40.25, -74.0)"
Drake Creek,5000.0,Fell,1827.0,36.4,-86.5,"(36.4, -86.5)"
Dresden (Ontario),47700.0,Fell,1939.0,42.52,-82.26,"(42.52, -82.26)"
Eagle,10000.0,Fell,1947.0,40.78167,-96.47167,"(40.78167, -96.47167)"
Estherville,320000.0,Fell,1879.0,43.41667,-94.83333,"(43.41667, -94.83333)"
Farmington,89400.0,Fell,1890.0,39.75,-97.03333,"(39.75, -97.03333)"
Farmville,56000.0,Fell,1934.0,35.55,-77.53333,"(35.55, -77.53333)"
Fayetteville,2360.0,Fell,1934.0,36.05,-94.16667,"(36.05, -94.16667)"
Felix,3200.0,Fell,1900.0,32.53333,-87.16667,"(32.53333, -87.16667)"
Ferguson,220.0,Fell,1889.0,36.1,-81.41667,"(36.1, -81.41667)"
Fisher,17600.0,Fell,1894.0,47.81667,-96.85,"(47.81667, -96.85)"
Florence,3640.0,Fell,1922.0,30.83333,-97.76667,"(30.83333, -97.76667)"
Forest City,152000.0,Fell,1890.0,43.25,-93.66667,"(43.25, -93.66667)"
Forksville,6067.0,Fell,1924.0,36.78333,-78.08333,"(36.78333, -78.08333)"
