Meteorite ID,Meteorite Name,Latitude,Longitude,Country,Discovery Time,Year
Q176241,Gao-Guenie meteorite,-2.18333333,11.65,,,
Q216876,Hoba meteorite,17.933667,-19.592472,Namibia,1920-01-01T00:00:00Z,
Q261837,Hadley Rille meteorite,,,,1971-01-01T00:00:00Z,
Q427535,Krasnojarsk,91.8,54.9,,1749-01-01T00:00:00Z,1773-01-01T00:00:00Z
Q572277,Oesel,23.0,58.5,Estonia,,
Q577468,Lenarto,21.0,49.0,Slovakia,1814-01-01T00:00:00Z,
Q610553,Heat Shield Rock,,,,2005-01-01T00:00:00Z,
Q614594,Chinga meteorite,94.4,51.05833333,,1913-01-01T00:00:00Z,
Q657038,Almahata Sitta,32.41275,20.74575,,,
Q724594,Ash Creek,-97.01,31.805,,,
Q728624,Hraschina meteorite,16.33333333,46.1,,,
Q818268,Benthullen Meteorite,8.21913,53.13374,Germany,,
Q895671,Bo Xian,115.833,33.8333,,,
Q897277,Brahin,30.33333333,52.5,Belarus,1807-01-01T00:00:00Z,
Q962600,Willamette Meteorite,-122.583,45.3667,United States of America,1902-01-01T00:00:00Z,
Q1031478,Campo del Cielo,-61.7,-27.63333333,Argentina,1576-01-01T00:00:00Z,
Q1031478,Campo del Cielo,-60.58333,-27.46667,Argentina,1576-01-01T00:00:00Z,
Q1034516,Cape York meteorite,-64.9333,76.1333,Greenland,1894-01-01T00:00:00Z,
Q1114384,Knyahinyai meteorite,22.479054,48.976236,Ukraine,1866-06-09T00:00:00Z,
Q1138829,Cranbourne meteorite,145.3,-38.1,Australia,1854-01-01T00:00:00Z,
Q1161790,Magura,19.4833,49.3333,Slovakia,1840-01-01T00:00:00Z,
Q1164183,Murchison meteorite,145.2,-36.6167,,1969-01-01T00:00:00Z,
Q1213164,Mócs meteorite,24.033333333,46.8,,,
Q1298625,Kaidun meteorite,48.3,15.0,Yemen,1980-12-03T00:00:00Z,
Q1344165,Patos de Minas,-46.533333333,-18.583333333,Brazil,,
Q1344365,Ensisheim,7.376111111,47.852777777,Holy Roman Empire,,
Q1364761,Richardton meteorite,-102.271,46.625,United States of America,,
Q1449768,Itqiy meteorite,-12.95222222,26.59083333,,1990-01-01T00:00:00Z,
Q1477392,Peekskill meteorite,-73.9164,41.2864,United States of America,,
Q1522908,Gibeon,17.76611111,-25.12444444,Namibia,1838-01-01T00:00:00Z,
Q1532797,Tamdakht meteorite,-7.015,31.1633,,2009-01-01T00:00:00Z,
Q1587292,Sutter's Mill meteorite,-120.5,37.6,,2012-04-24T00:00:00Z,
Q1591644,Santa Vitoria do Palmar meteorite,-53.41083333,-33.50944444,,2003-01-01T00:00:00Z,
Q1625058,Toluca meteorite,-99.5667,19.5667,Mexico,1776-01-01T00:00:00Z,
Q1626872,Karoonda meteorite,135.6,-35.6,Australia,,
Q1721470,Kainsaz meteorite,53.25,55.43333333,,,
Q1743859,Korra Korrabes,18.0833,-25.2,,,
Q1880589,L'Aigle,0.63333333,48.76666667,France,1803-01-01T00:00:00Z,
Q1930079,Allende meteorite,-105.316667,26.966667,Mexico,1969-01-01T00:00:00Z,
Q1966720,Kesen meteorite,141.61666667,38.99444444,,,
Q1981433,Neuschwanstein,10.75,47.5575,Germany,,
Q2248274,Glanerbrug,6.96642,52.2159,Netherlands,,
Q2275869,Seymchan,152.43333333,62.9,,1967-06-01T00:00:00Z,
Q2564923,Sylacauga meteorite,-86.2945,33.1884,United States of America,,
Q2895690,Bench Crater meteorite,,,,1969-11-20T00:00:00Z,
Q3195407,Kernouve,-3.08333,48.1167,France,1869-01-01T00:00:00Z,
Q3333922,Q3333922,8.833,35.617,Tunisia,1981-01-01T00:00:00Z,
Q3333923,Aioun el Atrouss,-9.57028,16.39806,,,
Q3583039,Aarhus,10.2278,56.1746,Denmark,1951-10-02T00:00:00Z,
Q3583039,Aarhus,10.23333,56.18333,Denmark,1951-10-02T00:00:00Z,
Q3583079,Pavlovka,43.0,52.03333333,,1882-08-02T00:00:00Z,
Q3607897,Albareto meteorite,11.01666667,44.65,Italy,,
Q3858361,Mineo,14.7,37.28333333,,,
Q3920744,Chernyi Bor,30.1,53.7,Belarus,,
Q4007128,Vaca Muerta,-70.5,-25.7667,,1861-01-01T00:00:00Z,
Q4007128,Vaca Muerta,-70.5,-25.75,,1861-01-01T00:00:00Z,
Q4033378,Adams County,-103.7666667,39.96666667,United States of America,,
Q4033601,Ahumada,-105.5,30.7,,,
Q4033702,Alfianello,10.15,45.26667,Italy,,
Q4033702,Alfianello,10.15,45.2667,Italy,,
Q4033762,Allan Hills A76001,159.3333333,-76.75,,,
Q4035508,Bur-Gheluai,43.61666667,2.36666667,,,
Q4036340,Coahuila meteorite,-102.73333333,28.7,,1837-01-01T00:00:00Z,
Q4037280,Dhofar 004,54.05401667,18.42763333,,,
Q4037282,Dhofar 020,54.52065,19.034,,,
Q4037283,Dhofar 237,54.62483333,19.1765,,,
Q4037460,Djati-Pengilon,111.5,-7.5,,,
Q4037630,Drum Mountains,-112.9,39.5,,1944-09-24T00:00:00Z,
Q4037970,Elbogen,12.73333,50.18333,Czech Republic,,
Q4037970,Elbogen,12.75,50.18333333,Czech Republic,,
Q9306434,Renqiu,116.133,38.6667,,,
Q9336146,Shuangyang,125.667,43.5,,,
Q9337104,Sinai,32.4833,30.9,Egypt,,
Q9339530,Songyuan,125.0,45.25,,,
Q9339675,Soroti,33.6333,1.7,,,
Q9355425,Tambo Quemado,-74.5,-14.6667,,,
Q9355553,Taonan,122.9,45.4,,,
Q9358640,Tianlin,108.1,23.9,,,
Q9358645,Tianzhang,118.983,32.9333,,,
Q9368282,Varpaisjärvi,27.7333,63.3,,,
Q9368695,Viedma,-62.85,-41.0667,,,
Q9371866,Weikengquan,99.8167,40.2667,,,
Q9371875,Weiyuan,104.317,35.2667,,,
Q9378854,Wuan,114.25,36.75,,,
Q9378890,Wuzhi,113.333,35.1333,,,
Q9383237,Xifu,120.483,36.3,,,
Q9383242,Xingyang,114.317,32.3333,,,
Q9383560,Youxi,118.017,26.1,,,
