Meteorite ID,Meteorite Name,Country,State,Year,GeoLocation
Q7064495,Novato meteorite,United States,California,2012,"-122.6, 38.1"
Q4926933,Blithfield meteorite,Canada,Ontario,1910,"-76.9658, 45.5061"
Q6680892,Loreto,México,Baja California Sur,1896,"-111.34333333, 26.01277778"
Q962600,Willamette Meteorite,United States,Oregon,1902,"-122.583, 45.3667"
Q4045713,Old Woman meteorite,United States,California,1975,"-115.227527777, 34.580647222"
Q4767789,Annaheim meteorite,Canada,Saskatchewan,1916,"-104.85, 52.4"
Q5325264,Eagle Station meteorite,United States,Kentucky,1880,"-84.9667, 38.6167"
Q7921633,Vermillion meteorite,United States,Kansas,1991,"-96.3614, 39.7364"
Q4984880,Claxton meteorite,United States,Georgia,1984,"-81.9, 32.15"
Q4039603,Goose Lake meteorite,United States,California,1938,"-120.542, 41.98"
Q4096315,Brenham,United States,Kansas,1882,"-99.1636, 37.5825"
Q1625058,Toluca meteorite,México,Jiquipilco Municipality,1776,"-99.5667, 19.5667"
Q8025899,Winona meteorite,United States,Arizona,1928,"-111.4, 35.2"
Q1930079,Allende meteorite,México,Pueblito de Allende,1969,"-105.316667, 26.966667"
Q4984880,Claxton meteorite,United States,Georgia,1984,"-81.8667, 32.1"
Q5003569,Buzzard Coulee meteorite,Canada,Saskatchewan,2008,"-109.848, 52.9961"
Q5596601,Grant meteorite,United States,Cibola County,1929,"-107.833333333, 35.15"
Q4049972,Springwater meteorite,Canada,Saskatchewan,1931,"-108.367, 51.9667"
