Meteorite ID,Meteorite Name,Discovery Time
Q4767789,Annaheim meteorite,1916-07-30T00:00:00Z
Q4926933,Blithfield meteorite,1910-08-13T00:00:00Z
Q4984880,Claxton meteorite,1984-12-10T00:00:00Z
Q5003569,Buzzard Coulee meteorite,2008-01-01T00:00:00Z
Q5003569,Buzzard Coulee meteorite,2008-11-27T00:00:00Z
Q5325264,Eagle Station meteorite,1880-01-01T00:00:00Z
Q5596601,Grant meteorite,1929-01-01T00:00:00Z
Q6680892,Loreto,1896-01-01T00:00:00Z
Q7064495,Novato meteorite,2012-10-20T00:00:00Z
Q7810691,Tlacotepec meteorite,1903-01-01T00:00:00Z
Q7921633,Vermillion meteorite,1991-01-01T00:00:00Z
Q8025899,Winona meteorite,1928-01-01T00:00:00Z
Q4039603,Goose Lake meteorite,1938-01-01T00:00:00Z
Q4045713,Old Woman meteorite,1975-01-01T00:00:00Z
Q4049972,Springwater meteorite,1931-01-01T00:00:00Z
Q4096315,Brenham,1882-01-01T00:00:00Z
Q18154197,Lake Murray Meteorite,1933-01-01T00:00:00Z
Q962600,Willamette Meteorite,1902-01-01T00:00:00Z
Q1625058,Toluca meteorite,1776-01-01T00:00:00Z
Q1930079,Allende meteorite,1969-01-01T00:00:00Z
Q55888190,Albin,1915-01-01T00:00:00Z
Q104717066,Creston,2015-01-01T00:00:00Z
